,Pclass,Age,SibSp,Parch,Fare,Sex_male,Survived
0,3.0,22.0,1.0,0.0,7.25,1.0,0
1,1.0,38.0,1.0,0.0,71.2833,0.0,1
2,3.0,26.0,0.0,0.0,7.925,0.0,1
3,1.0,35.0,1.0,0.0,53.1,0.0,1
4,3.0,35.0,0.0,0.0,8.05,1.0,0
5,3.0,29.0,0.0,0.0,8.4583,1.0,0
6,1.0,54.0,0.0,0.0,51.8625,1.0,0
7,3.0,2.0,3.0,1.0,21.075,1.0,0
8,3.0,27.0,0.0,2.0,11.1333,0.0,1
9,2.0,14.0,1.0,0.0,30.0708,0.0,1
10,3.0,4.0,1.0,1.0,16.7,0.0,1
11,1.0,58.0,0.0,0.0,26.55,0.0,1
12,3.0,20.0,0.0,0.0,8.05,1.0,0
13,3.0,39.0,1.0,5.0,31.275,1.0,0
14,3.0,14.0,0.0,0.0,7.8542,0.0,0
15,2.0,55.0,0.0,0.0,16.0,0.0,1
16,3.0,2.0,4.0,1.0,29.125,1.0,0
17,2.0,33.666666666666664,0.0,0.0,13.0,1.0,1
18,3.0,31.0,1.0,0.0,18.0,0.0,0
19,3.0,19.0,0.0,0.0,7.225,0.0,1
20,2.0,35.0,0.0,0.0,26.0,1.0,0
21,2.0,34.0,0.0,0.0,13.0,1.0,1
22,3.0,15.0,0.0,0.0,8.0292,0.0,1
23,1.0,28.0,0.0,0.0,35.5,1.0,1
24,3.0,8.0,3.0,1.0,21.075,0.0,0
25,3.0,38.0,1.0,5.0,31.3875,0.0,1
26,3.0,36.5,0.0,0.0,7.225,1.0,0
27,1.0,19.0,3.0,2.0,263.0,1.0,0
28,3.0,20.333333333333332,0.0,0.0,7.8792,0.0,1
29,3.0,33.0,0.0,0.0,7.8958,1.0,0
30,1.0,40.0,0.0,0.0,27.7208,1.0,0
31,1.0,37.0,1.0,0.0,146.5208,0.0,1
32,3.0,19.0,0.0,0.0,7.75,0.0,1
33,2.0,66.0,0.0,0.0,10.5,1.0,0
34,1.0,28.0,1.0,0.0,82.1708,1.0,0
35,1.0,42.0,1.0,0.0,52.0,1.0,0
36,3.0,36.5,0.0,0.0,7.2292,1.0,1
